P3DC,1259€, Dimi,dimi@usemail.com,Top:	Solid Cedar Back:	Solid Sapele Sides:	Sapele Neck:	Mahogany Finger Board:	Rosewood Nut Width:	1.675 (42.5 mm) Electronics:	CT4B II Preamp System with 3-band EQ Volume Control and Built-in Tuner Finish:	Satin
P4DC,1399€,Panos,panos@panoulis.com ,Top:	Solid Spruce Back:	Solid Sapele Sides:	Sapele Neck:	Mahogany Finger Board:	Rosewood Nut Width:	1.675 (42.5 mm) Electronics:	CoolTube (CTP-3) Finish:	Natural Gloss
P5DC,1499€,Vladimir,vlad_russian_09-05@russia.com,Top:	Solid Spruce Back:	Solid Rosewood Sides:	Rosewood Neck:	Mahogany Finger Board:	Rosewood Nut Width:	1.68 (42.67 mm) Electronics:	CoolTube (CTP-3) Finish:	Natural Gloss
P7DC,2899€,Donald,donald_45@usa.com,Top:	Solid Spruce Back:	Solid Rosewood Sides:	Solid Rosewood Neck:	Mahogany Finger Board:	Ebony Nut Width:	1.77 (45 mm) Electronics:	CoolTube(CTP-3) Finish:	Natural Gloss
LTD2016,2883€,Thaleia,thaleita33@usemail.com,Top:	Flamed Maple (Arched Top) Back:	Flamed Maple (Arched Top) Sides:	Flame Maple Neck:	Maple Finger Board:	Ebony Nut Width:	42.5 mm Electronics:	CTP-3 Case	GC100 Finish:	Green Blue Burst
LTD2020,2799€,Michaelangelo,mike_00fg@usemail.com,Top:	Solid Spruce Back:	Solid Ovangkol Sides:	Ovangkol Neck:	Mahogany FingerBoard:	Ebony Nut Width:	42.5 mm Electronics:	CT4-DX Finish:	Green Tea Gloss
EF341SC,1499€,Rony,rony_09tak@guitarmail.com,Top:	Solid Cedar Back:	Laminated Maple Sides:	Laminated Maple Neck:	Mahogany FingerBoard:	Rosewood Nut Width:	1.675 (42.5 mm) Electronics:	CT4B II Finish:	Gloss Black
GD93CE-NAT, 660€, Julia, july87@gitguitar.com, Top:	Solid Spruce Back: 3-Piece Back Black Walnut/Maple Sides: 3-Piece Back Black Walnut/Maple Neck:	Mahogany FingerBoard:	Laurel Nut Width:	1.6875 (42.8 mm) Electronics:	Takamine TK-40D Preamp with Built-In Tuner Finish:	Natural Gloss
EF450C-TT, 2499€, Oscar, 09_oscary@usmail.com, Top:	Solid heat-treated Spruce Back: Solid Maple Sides: Solid Maple Neck:	Maple FingerBoard:	Ebony with Grass Flower insert Nut Width:	1.6875 (42.8 mm) Electronics:	Takamine TLD-2 Line Driver Preamp and pickup truck System Finish:	Transparent Black Burs
GD90CEZC-NAT, 699€, Katie, kat65_op@rumail.com, Top:	Solid Spruce Back: Ziricote Sides: Ziricote Neck:	Mahogany FingerBoard:	Ovangkol Nut Width:	1.6875 (42.8 mm) Electronics:	Takamine TP-4TD preamp with built-in tuner Finish:	Natural high gloss
